text,labels
critically evaluate the role of artificial intelligence in autonomous vehicles and its potential impact on road safety and ethics.,2
calculate the number of degrees of freedom of mechanism as shown in fig.,2
write a program to create files using constructor function.,0
outline the steps of the problem-solving process in engineering.,3
"compare the characteristics of shallow neural networks and deep neural networks, assessing their suitability for modeling complex relationships in data.",3
show the process of calculating the volume of an irregularly shaped object using displacement.,2
evaluate the benefits and drawbacks of artificial drainage.,4
explain the concept of current boosting with necessary diagram.,0
compare and contrast the characteristics and usage between aluminium and high carbon steel.,3
"technology has been used in most schools since the 90s, but it still has some interruptions. validate the top four 4 problematic issues with technology in education today.",4
what is mutual exclusion?,0
a column support load of 400 kn is shown in figure 8.,2
categorize the different types of psychological therapies.,3
write a note on evaluation of expression.,0
what is the name of your favorite childhood toy?,0
evaluate the first and second derivative of âx at x15 from the following data,2
explain software reuse.,0
explain namespace in c with example?,0
would this information be useful if you had a . . .?,2
explain speed control using vf method.,0
demonstrate the steps of a physical process through a video demonstration.,2
can you quote a line from martin luther king jr.s i have a dream speech?,0
compare the thermosetting plastics and thermoplastic.,3
draw v to i converter with grounded load and explain with its output equation.,1
use regression analysis to determine the relationship between sales and advertising expenditure.,2
how can you use your understanding of cultural anthropology to interpret cultural practices?,2
solve a complex control problem involving motion planning for robotic manipulators and evaluate the accuracy of the control algorithm.,2
how would you develop a new software tool for data visualization and analysis?,5
create a novel design for a lightweight composite material with tunable mechanical properties for use in aerospace and automotive applications.,5
"discuss the principles of water resources management, explaining topics such as hydrology, water conservation, and water resource planning.",1
"consider youre optimizing the design of a centrifugal pump for water supply applications. explain how you would perform performance mapping, impeller trimming, and casing redesign to improve pump efficiency and reliability.",1
the connecting rod of horizontal engine is 400 mm long between the centers.,2
your team is developing a communication protocol for an internet of things iot device that requires secure data transmission over a wireless network. analyze the differences between using mqtt message queuing telemetry transport and coap constrained application protocol for iot communication in terms of reliability and resource efficiency.,3
in which continent does the state of suriname fall,0
a pipe line carrying water has average height of irregularities projecting from the surface of the boundary of the pipe as 0.,4
assume that the probability of an individual coal miner being killed in a mine accident during a year is 1 2400.,2
combine any two sports to develop a new olympic sport.,5
provide labels for the various layers of the earths atmosphere.,0
write a logically organized argument in favor of a given position.,5
"plan a comprehensive disaster preparedness and response strategy for a coastal city vulnerable to hurricanes, including evacuation routes, emergency shelters, and early warning systems.",5
compare the different types of anomaly detection algorithms in terms of their detection capabilities and computational complexity.,1
nike will be conducting consumer research on their footwear. assess five 5 types of consumer research that nike can implement by providing an appropriate example for each.,4
"suppose youre troubleshooting a voice quality issue in a cellular network. describe the key performance indicators kpis and metrics you would analyze to identify factors affecting call drops, latency, and audio distortion.",1
what do you mean by excitation table of flip flop?,0
explain sounding methods and sounding equipment of hydrographic survey.,1
elaborate five 5 factors that will influence the demand and supply of a currency.,1
describe the concept of culture.,0
a rectangular plane surface 3m wide and 4m deep lies in water in such a way that its plane makes an angle of 30âº with the free surface of water.,2
how do you calculate the area of a triangle?,2
"using routhâs  hurwitzâs criteria, comment on the stability if characteristic equation is: s6  2s5  8s4  12s3  20s2  16s  16.",2
"compare the different types of digital modulation schemes e.g., ask, fsk, psk in terms of their power efficiency and complexity.",1
"evaluate the thermal performance of different heat exchanger designs e.g., shell-and-tube, plate heat exchanger, finned tube heat exchanger in terms of heat transfer efficiency and pressure drop.",3
compare the various types of recommendation systems in terms of their recommendation accuracy and scalability.,1
what are different types of inheritance supported by java.,0
what is screening frequency?,0
contrast olympic athletes of today with athletes of past olympic games.,3
what is conformational isomerism?,0
what is software quality?,0
evaluate the evidence supporting the use of artificial neural networks for speech recognition in noisy environments.,2
what are micro instructions? draw and explain micro-programmed control unit design.,0
summarize the consequences of an economic recession.,1
apply gauss jordan method to find inverse of,2
draw a neat sketch of a dc generator.,2
evaluate the potential risks and benefits of using renewable energy sources for powering desalination plants.,2
explain functional units of computer.,0
use trigonometry to determine the height of the building.,2
write a program in c language to enable hardware interrupts int0 and int1.,2
design a sustainable urban drainage system that integrates green infrastructure such as rain gardens and permeable pavements to mitigate stormwater runoff and reduce flooding.,5
explain the importnce accessories of jig and fixture.,0
"discuss the role of cache memory in improving cpu performance, explaining the concepts of cache hit and cache miss.",1
"after examining the videotape of a play in a football game, determine the degree to which the defensive team performed effectively and",4
compare the pros and cons of two programming languages.,4
prestressed concrete is a method for overcoming concretes natural weakness in tension. justify the two 2 common methods of prestressing.,4
explain different types of riveted joints.,0
"a satellite communication company is analyzing the interference effects of neighboring satellite constellations on signal reception and transmission. evaluate the spectrum management policies and frequency allocation regulations for mitigating satellite interference, including coordination agreements and interference avoidance techniques. recommend spectrum monitoring solutions and interference mitigation strategies to optimize satellite communication performance and ensure reliable connectivity.",4
briefly describe the advantages of moet in cattle breeding.,1
highlight the importance of bioinformatics analysis in genomic studies.,1
define dryness fraction.,0
list the features of 8086 microprocessor.,0
list the design concepts.,0
demonstrate the application of the scientific method to formulate a hypothesis.,2
judge the reliability of a penetration testing framework in identifying and exploiting security vulnerabilities in web applications.,4
hersey and blanchard 1977 style of leadership specifies that a leaders behavior corresponds to employees level of maturity. explain the four 4 styles of situational leadership and support your answer with an example for each of the styles on whom they should be applied in an organization.,1
explain five 5 ways that can be practiced by the organization to communicate during the crisis.,1
write a function in c to delete a node in sll.,2
assess the strengths and weaknesses of the current olympics and recommend action that should be taken in future olympics: what can be,4
paraphrase the historical speech.,1
can you invent a new method for harnessing clean energy from ocean waves?,5
explain the difference between array representation and linked representation of binary tree.,0
draw the block diagram of pll and explain each block in detail.,0
can you tell me a joke?,0
explain rtd with its principle of working. explain three wire lead arrangement of rtd.,0
briefly describe how poultry sexing is commonly carried out in a hatchery.,1
discuss four 4 common modern construction problems to anticipate.,1
explain in detail the functions of adcon0 sfr of pic18 microcontroller.,2
describe in brief market and sales for urea in india and in manufacture of industrial chemicals_______.,0
how can you choose the best option from the available ones?,4
how do you derive the equation for calculating the resistance of an electrical circuit?,5
summarize the effects of the industrial revolution.,1
what is shift register?,0
list down five 5 types of concrete admixture.,0
what is bgp?,0
derive the thermodynamic equation for depreesion in frizzing point of solution.,5
what criteria do you use to select the right candidate for the job?,4
summarise the challenges of global advertising.,1
what is indicator microorganism and explain its significance in water microbiology.,3
find the maximum flow in the given network.,0
aluminum is a preferred plate making material.,0
construct the backward difference table for the following data.,2
explain the memory write cycle with help of suitable timing diagram.,3
what is meant by system calls in operating system?,0
can you identify the cause-and-effect relationships between different political events in a complex timeline?,3
what is an exception?,0
program the 8051 in c to receive bytes of data serially and put them in p2.,2
explain high pass filter using op-amp with its frequency response.,0
what is groundwater?,0
explain the phenomenon of boundary layer separation and methods to control to it.,3
write in detail a about structural lipids in membranes.,0
analyze the economic indicators to assess the countrys economic health.,3
what research questions would you formulate for a political science study on voter behavior?,5
suggest four 4 strategies that improve adolescents sleep from the physiological psychology perspectives.,5
"compare and contrast two treatments of either drapery or animals by greek sculptors, establishing their artistic contexts",1
state the main missions of national center for biotechnology information ncbi.,0
create a storyboard for a sequel to your book. use the same characters.,5
can you quote a famous line from a movie you love?,0
draw  explain the working principle of resistive type humidity sensor measurement technique. compare with capacitive type of humiditymeasurement technique.,0
how can you relate knowledge from history and literature to understand a cultural phenomenon?,5
an emf 200 v is in series with a.,2
investigate whether or not the system can be solved for x; y; z,3
explain impact of temperature and insolation on i-v curves of pv cells.,0
suggest four 4 strategies that facilitate healthy adolescence development from the physiological psychology perspectives. elaborate your answers with examples.,5
g .,4
solve any two of the following.,2
can you generalize from consumer preferences to predict upcoming market demands?,5
"discuss the differences between object-oriented and functional programming paradigms, illustrating with code snippets.",1
examine the purpose of a stormwater drainage system in urban planning?,0
state three traits that are associated with invasive plants.,0
analyze the patterns in stock market data to predict trends.,3
draw and explain wsn architecture?,3
how do we differentiate between genuine buyer and undercover buyer,3
explain the four 4 roles of media during a crisis. support your explanation with an appropriate example for each role.,1
choose the most suitable candidate for a leadership position.,4
reproduce the steps to configure a static ip address on a linux machine?,0
develop an abc classification system for the 10 items.,5
quote the definition of a honeypot in network security?,0
recognize the subjectivity in a political debate about taxation.,4
explore the need for a protection mechanism in 80386.,3
"related party transaction is a transaction entered into by a plc or its subsidiaries, which involved the interest of the related party. justify the reasons for disclosure of related party transaction.",4
differentiate between terrestrial photogrammetry and aerial photogrammetry?,0
solve the following set of linear simultaneous equation using the gauss jacobi method.,2
what do you meant by roller compacted concrete.,1
verify the value of data collected from a limited sample size.,4
imagine a new cloud computing service tailored for iot applications. design its architecture and identify key components for managing iot data.,5
how could old storytelling techniques be combined to create a unique narrative structure?,5
solve a mechanical engineering problem involving stress and strain calculations.,2
demonstrate the correct usage of the scientific method in interpreting experimental results.,2
explain the repository features with respect to software configuration management.,3
find minimum spanning tree for the following graph using prim âs algorithm.,2
the price of good is one of the internal factors of determinants of demands and it also depends on the cost of production. describe the two 2 types of production cost with examples.,1
compare the nutritional value of two different meal options.,4
how would you classify the different forms of energy?,3
describe the process of cellular respiration in detail.,0
lets discuss the societal implications of human cloning.,1
"the speed kmhr of a train which starts from rest is given by the following table, the time being recorded in minutes.",2
"determine the fs representation for the signal with periodic wave, shown below using exponential method.",2
what are different types of icr?,0
state and explain the working principle of the dc generator along with a diagram.,0
derive the expression for loop inductance of single phase overhead lines.,3
list and explain various features of virtual 8086 mode.,0
what steps are involved in composing an impactful ted talk?,5
describe the basic qlassic inspection tools used and how they are used to detect the various types of defects for their assessment of quality.,1
compare the various types of anomaly detection methods in terms of their sensitivity and specificity.,1
discriminate between varying viewpoints on the role of government in healthcare.,4
generate ideas for promoting green building practices.,4
compute gcd of the following using euclidean algorithm.,0
state and explain the conditions for deadlock to occur.,0
elaborate about enabling and disabling interrupts in 80386.,3
analyze the potential environmental impacts of using internal combustion engines versus electric motors in automotive propulsion systems.,2
"compare and contrast preview questions, clarifying questions and anticipated exam questions, including how each relates to the notetaking process?",3
explain error handling during file operation.,1
draw drain characteristics of for n channel jfet.,0
why not compose a song about . . .?,5
plan a disaster recovery strategy for satellite communication systems to ensure uninterrupted service in the event of satellite failures or space debris collisions.,5
draw and explain the von neumann architecture.,0
describe conservation tillage and explain why it often requires a change in nutrient management.,1
"distinguish between different types of construction contracts e.g., lump sum, cost plus, unit price, discussing their implications on project cost and risk allocation.",3
analyze the frame shown in figure 3 by slope deflection method and draw bmd.,3
briefly discuss the advantage of c3 and c4 pathways for weeds.,1
"explain the concept of multithreading and its advantages in concurrent programming, illustrating with a practical example.",1
describe the pareto principle in statistical software quality assurance.,1
explain how timothy saved phillips life.,1
the principal tensile stresses at a point on two perpendicular planes are 120 mpa and 50 mpa.,2
can you predict the outcome of a sports event based on team statistics?,2
label the sections of a business plan.,0
explain how soil acts as a geochemical trap and state the various remediation techniques.,1
two straights pi and qi meet at chainage of 1250 m. a right handed simple circular curve of 250 m radius joins them. the deflection anglebetween two straights is 30 â. tabulate the necessary data to layout the curve by offset from long chord. take chord interval as 10 m.,2
describe how accurate mass spectrometry could be applied to determine if a small protein contains a pair of disulfide-bonded cysteine residue or two reduced cysteine residues. explain how you can confirm your finding.,3
explain the steps of the scientific method.,1
what strategies can you use to identify redundant information in a complex market analysis?,3
explain the rules for constructing the ladder diagram of plc.,0
how is . . . similar to . . .?,3
state various application of entropy.,0
identify the constellations visible in the night sky during winter.,0
apply and integrate several different strategies to solve a mathematical problem not according to one formula,5
a steel bar 3.,2
devise a method for implementing nature-based solutions such as wetland restoration and coastal vegetation planting to mitigate coastal erosion and flooding.,5
apply the principles of fluid dynamics to design an efficient water distribution system.,2
define color temperature.,0
invent a method for reducing noise and vibration levels in mechanical systems such as car engines or industrial machinery to improve comfort and reliability.,5
state the output of a given flow rate analysis in open channel hydraulics?,0
criticize the robustness of a natural language processing nlp model for sentiment analysis in handling sarcasm and irony.,4
critique the accuracy of a natural language processing nlp model for sentiment analysis in customer feedback analysis.,4
measure the effectiveness of a marketing campaign.,4
pretend you are a librarian recommending this book to someone. write a paragraph telling what you would say.,5
define shear force at a section and bending moment at a section.,0
identify the characteristics of a culvert in hydraulic engineering?,0
"starting from a point of equilibrium, explain the case of a decreasing - cost industry in a perfectly competitive market with the aid of diagrams.",1
discuss why the fertility program for potted plants is different from field crops.,1
explain the development process for a building construction.,1
name the different types of insulators used in power system?,0
the air standard diesel cycle has a compression ratio of 14.,2
use the second-derivative test to determine whether critical points where f0x  0 yield relative maxima or relative minima,2
explain how human capital can lead to economic growth.,1
differentiate between scada and hmi.,3
two different soils were obtained during sampling and the distance between the two sites were only 100 meters apart. discuss two soil forming factors which are most likely to explain the differences.,1
explain properties of insulating materials which are used in capacitor and rotating machines.,0
can you identify the interactions between different factors in a complex economic model?,3
summarize the steps of the scientific method.,4
a trapezoidal channel has side slopes 1 to 1.,2
a 250 v dc shunt motor with armature resistance of 0.,2
invent a new protocol for secure and efficient communication between internet of things iot devices in a smart home environment.,5
explain the significance of the position of rubber-synthesizing cis prenyltransferases in the structure of a rubber particle.,1
what is additive manufacturing?,0
apply the principles of ecology to analyze the interactions within a newly discovered ecosystem.,2
explain the construction of three phase induction motor?,0
write the difference between impulse turbine and reaction turbine.,3
define industrial engineering and state its history and development.,0
compute the intensity of active earth pressure at a depth of 8 m in dry cohesionless sand with an angle of internal friction 300 and unit weight of 18 knm3.,2
write down application of carbon nano tubes and bn nano tubes.,0
identify five 5 conditions that one needs to meet in order to be an independent director in malaysian public listed company plc.,0
identify any five 5 significances of nonverbal communication in organization.,0
devise plans to market or make artwork more valuable.,5
can you quote a line from a work of classic literature?,0
debate the ethical considerations of using ai algorithms for autonomous vehicles.,4
compare the time complexity of quicksort and mergesort algorithms for sorting large datasets.,3
criticize the thermal efficiency of a combined cycle gas turbine power plant under varying load conditions.,4
describe with the help of neat sketches of wave forms methods of generation of pwm.,1
how can you experiment to verify the laws of motion proposed by newton?,2
propose innovative solutions for enhancing the resilience of critical infrastructure to extreme weather events and natural disasters.,2
describe soil colloids and their importance.,1
show the process of calculating the volume of a cone using integration.,2
with suitable block diagram explain working of electronic energy meter.,2
list five endangered animal species.,0
test the hypothesis through field research.,4
analyze the movements and sounds of a frog.,3
"how do you distinguish between the binge-eatingpurging type of anorexia nervosa and bulimia nervosa, purging type",3
what is morphing and write the applications of morphing.,0
describe in brief general polymerization process.,1
describe adaptive delta modulation with neat diagram.,1
"discuss the principles of geotechnical earthquake engineering, explaining methods for site characterization, liquefaction analysis, and ground improvement.",1
what do you mean by spontaneous magnetization?,0
decide on the best pricing strategy for a new product.,4
with the help of block diagram explain v oltage  current measurement using 8051.,0
devise a system for automatically detecting and mitigating jamming attacks in wireless sensor networks deployed in hostile environments.,5
"compare the characteristics of different wireless propagation models e.g., free space model, two-ray ground model, log-distance path loss model in predicting signal strength and coverage.",3
draw two 2 point perspectives with two 2 geometrical forms.,1
what associations come to mind when you think of family?,1
explain the pneumatic power supply with neat sketch.,1
draw and explain dma block diagram.,0
show how they have used creative writing strategies appropriate to the format,2
find angle between the tangents to the curve 232 rt i t jt kï½ïï at the points t  1 and t  â1.,2
list five 5 differences between forward and future market.,0
describe the process of photosynthesis in plants.,0
briefly describe the disadvantages of characterising three dimensional protein structures using x-ray diffraction.,1
write following c functions in sll:,2
find out minimum spanning tree of the following graph figure 3 using kruskalâs algorithm.,2
"you are tasked with designing an innovative wireless communication system for a smart city project to provide seamless connectivity to iot devices, autonomous vehicles, and urban infrastructure. create a communication architecture that leverages emerging technologies such as 5g, mmwave, and edge computing to ensure low latency, high reliability, and scalability for diverse urban applications.",5
how might old architectural elements be combined to create a modern building design?,5
the principal tensile stresses at a point across two perpendicular planes are 100 mpa and 50 mpa.,2
"contrast the benefits and limitations of using different gear types e.g., spur gear, helical gear, worm gear in mechanical power transmission systems.",3
devise a machine learning model for predicting stock market trends that incorporates sentiment analysis of news articles and social media posts.,5
what is obst in data structure?,0
restate the steps of the experiment.,1
how will you test transformer oil?,2
what are the various data operands on which instruction operates?,0
recall the principles of classical conditioning in psychology.,0
"using the process approach in writing composition, describe the activities you would carry out to write a composition entitled a visit to a zoo in a form 1 class.",1
write note on high temperature alloy.,0
explain structural error related to synthesis of mechanism.,0
when did you born ?,0
analyze the potential societal impacts of integrating autonomous vehicles into existing transportation systems and urban landscapes.,2
infer the motivations behind a characters decision to leave their hometown.,1
summarize the plot of the novel briefly.,1
mass media regularly use women in the mediuin of marketing and advertising. discuss the possible negative consequences for various segments of the population and society.,1
"classify the following substances as particle, atom, element, molecule, compound",1
tabulate the differences between a smith chart and a polar plot in rf engineering?,0
judge the scalability of a cloud-based identity and access management iam solution for managing user identities and permissions.,4
"distinguish between laminar and turbulent flow regimes in fluid dynamics, discussing their respective effects on heat transfer and pressure drop in pipes.",3
can you recall the main steps involved in the scientific method?,0
describe the construction and working of the universal motor with the help of suitable diagrams and state its two applications.,0
propose two 2 self-presentation tactics for impression management.,5
draw the logic diagram of full-adder and its truth table.,0
what do you mean by industrial automation?,0
define steel?,0
how do you create an engaging website design for an online art gallery?,5
"show, through role-play, the final scene in the novel.",2
how do you create an engaging user interface for a fitness tracking app?,5
devise a method for enhancing the safety of autonomous vehicles through the use of advanced sensor fusion techniques and real-time hazard detection algorithms.,5
formulate an algorithm for optimizing resource allocation in cloud computing environments based on real-time workload and performance metrics.,5
describe nuclear transport to a lay person.,1
give three examples of symptoms that resemble herbicide damage on plants.,1
the monthly requirement of a sand for a particular firm is 849 cubic meter.,2
list three factors in determining economic thresholds for weeds.,0
write in details five 5 phases of design process.,1
what is the difference between traffic shaping and congestion control at transport layer?,3
categorize the different types of economic theories.,3
explain vacuum forming in plastics.,0
an electron experiences a potential difference of 5 kv in vacuum. find the wavelength of the particle.,1
how do you approach understanding complex information?,1
explain a vl tree rotations with example.,0
whta is backface?,0
explain working of ports in 8051 microcontroller.,1
what is the definition of the word philanthropy?,0
write a note on sql lite database.,0
compare linear and switching mode power supply.,0
solve a complex optimization problem related to the design of sustainable drainage systems and evaluate the effectiveness of different design configurations.,2
draw and explain the interfacing diagram of strain gauge with arduino board showing necessary subsystems.,1
state and explain rules of inference.,0
bankerâs algorithm is used for deadlock avoidance. explain.,0
apply principles of sociology to solve a social issue.,2
explain the contents of project feasibility report with example.,1
describe the process of formwork erection in concrete construction?,0
write a note on elements of a configuration management system.,0
determine the driving point impedance for the network shown in fig.,3
what is feature based modeling?,0
describe the properties and application of the following materials.,1
describe five 5 characteristics of hardened concrete.,1
discuss the importance of philip crosbys suggestion on âdo it right the first timeâ by manufacturing company.,1
provide justifications as to why integrity and reliability is important in a companys annual report and accounts aras from corporate governance point of view.,4
define brainstorming process.,0
name the main characters in the story.,0
explain deletion of segment with suitable example.,3
describe head type flow measurement transducers.,0
what are the different tools used for generation of reports?,0
evaluate the evidence supporting the use of composite materials for lightweighting in automotive engineering.,2
explain shell and tube heat exchanger in detail with neat sketch.,3
explain two 2 defects which are usually occur on the surface of finished concrete.,1
interpret five 5 usage of learning management system as an emerging technology in the context of teaching and learning.,1
explain helmholtz and gibbs functions.,0
explain architecture of 8086 microprocessor with diagram.,0
demonstrate the correct usage of the scientific terminology when presenting research findings.,2
"microsatellite tandem repeats are abundant in human promoters and are associated with regulatory activity sawaya et al., 2013.â discuss the statement and support your views with examples.",4
propose a system architecture for a cloud-based platform that enables real-time collaboration on large-scale software development projects.,5
explain the disaggregation of tissue with trypsinization and its significance.,3
what are the fundamental requirements of residential building?,0
draw the block diagram of hardwired control unit.,0
explain any four 4 product design strategies you have learned. evaluate the importance of each strategy.,1
explain the stages of combustion in a c.,1
describe the function of the nullptr keyword in c?,0
explain resource allocation methods and their significance in manpower planning.,1
analyze the potential environmental impacts of large-scale land reclamation projects in coastal areas.,2
propose and evaluate innovative solutions for improving the accuracy of predictive models in healthcare.,2
can you integrate artificial intelligence into a customer support chat system?,5
explain in detail the maslow hierarchy of needs.,1
derive an expression for the inductance of three phase overhead transmission line when conductors are unsymmetrical spaced buttransposed.,3
reproduce the steps to perform a field density test on soil?,0
"evaluate the security risks associated with different mobile device management mdm solutions e.g., device encryption, remote wipe, containerization in byod environments.",3
calculate for x in the following equation: 12x36,2
elaborate the impact of usage of ev on power grid.,0
define durability of concrete.,0
tabulate the performance metrics for employees in a department.,0
"interpret the concept of stress analysis in beams, discussing methods such as bending moment diagrams and shear force diagrams.",1
"evaluate the effectiveness of different vibration isolation methods e.g., rubber mounts, active vibration control, tuned mass dampers in reducing vibrations in mechanical systems.",3
lets discuss the impact of social media on mental health.,1
explain the differences between forward and futures contract.,1
what are proximate and ultimate analysis of fuel?,0
describe the operation of timer 555 with suitable block diagram.,0
with the help of torque speed characteristics explain effect of addition of external resistance in rotor circuit of 3 phase slipring induction motor.,1
an e-commerce platform is assessing the effectiveness of customer segmentation algorithms for targeted marketing campaigns. evaluate the clustering algorithms and segmentation criteria used to group customers based on purchasing behavior and preferences. recommend segmentation validation techniques and cohort analysis methods to optimize marketing strategies and increase conversion rates.,4
solve the system of linear equations using matrix operations.,2
recognize subjectivity in a discussion about the most influential technological innovation.,4
"contrast the characteristics of symmetric and asymmetric encryption algorithms, discussing their suitability for encrypting data at rest and in transit.",3
"using marginal approach, explain and identify how many unit of cd players should the firm producer per day if its goal is to maximize its profit.",2
what research questions would you formulate for an economics study on income inequality?,5
write the steps involved in programming compare mode of ccp1 module in pic18f458.,0
explain file functions for text file and binary file operations.,0
what are the innovation challenges in design thinking.,3
identify four 4 factors that influence consumer behaviour.,0
can you distinguish aged rums from unaged rums by smell,3
demonstrate the correct usage of the scientific method to conduct an experiment.,2
explain cutting variables.,0
"as a supervisor for the brickworks, list four 4 aspects of brick quality control in order to produce good architectural work.",0
what is register renaming?,0
list and explain two 2 advantages and three 3 disadvantages of economic growth.,1
show that the analytic function f z with constant modulus is constant.,3
describe packet format of ipv6 in detail with suitable diagram.,3
explain necessity of transposition of line conductors in three phase lines.,1
draw the basic outline of a page of notes using the cornell method?,0
list the different psychrometric processes and show them on the hand drawn psychrometric chart.,1
determine the percentage of dhts assets committed to inventory.,2
explain with appropriate example the feasibility of dam alignment which is crossing dyke.,3
what modifications would you make to a fitness app to enhance user engagement?,5
with the help of a block diagram explain the concept of smps.,0
describe the taste of a ripe watermelon.,1
what is software architecture?,0
analyze the trade-offs between using rule-based systems and machine learning approaches for decision-making in expert systems.,2
support your views with two 2 examples from everyday life for each origins.,4
relate the principle of reinforcement to classroom interactions.,2
judge the effectiveness of a web application firewall waf in protecting web servers from common security threats and attacks.,4
analyze the data on market trends to inform investment strategies.,3
list down and explain in brief the screen frame purpose and requirement.,0
can you integrate natural language processing into a customer support chatbot?,5
explain objectives of cladding.,1
explain how surcharge will affect earth pressure for cohesionless and cohesion soils in active state with pressure diagrams.,3
name 5 steps that follow the taking of notes within 24 hours or less?,0
recognize subjectivity in a debate about the best method of artistic expression.,4
a tacheometer with analystic lens.having the multiplying constant 100 was used and the following observations were made on staff held vertical.,2
how do you judge the success of a marketing campaign?,4
"contrast the features and performance of different braking systems e.g., disc brakes, drum brakes, regenerative brakes in terms of stopping distance and thermal dissipation.",3
can you tell me about the stages of grief according to elisabeth kã¼bler-ross?,0
the internal and external diameter of the impeller of a centrifugal pump are 200 mm and 400 mm respectively.,2
what are the units of corrosion penetration rates? relate these to faradays law,0
derive the expression for f.o.s. for dry infinite slope in sandy soil.,3
differentiate between renewable and non-renewable energy sources.,1
draw and explain frequency response of low pass filter.,0
do you devise a systematic approach in order to get larger progressions,5
explain the need of demand paging with advantages.,0
how can you generate innovative ideas for an environmental awareness campaign?,5
explain the conceptual design process.,1
imagine youre developing a chatbot for customer support. describe how you would implement natural language understanding nlu and dialogue management using intent classification and response generation techniques.,1
explain the change control mechanism in scm.,0
how would you break down a complex literary work into its narrative structure and themes?,3
what are details of composition in stainless steel and tool steel?,0
group these artworks based on their artistic movements.,1
lets discuss the implications of gene editing in humans.,1
criticize the reliability of digital image correlation dic techniques in measuring strain and deformation in materials testing.,4
"devise a new method for improving the interpretability of deep learning models, allowing users to understand and trust model predictions more effectively.",5
what are dirichlet conditions for existence of fourier series.,0
explain in your own words what is meant by mercantilism.,1
write short notes on industrial robotic application of light curtains and laser area scanner.,0
what are the assumption of bet theory of adsorption?,0
describe the key features of the human nervous system.,0
invent a solution for securely sharing and collaborating on sensitive documents among distributed teams using encryption and access control mechanisms.,5
compare the different types of environmental impact mitigation measures in civil engineering projects.,1
"evaluate the performance of different dimensionality reduction techniques e.g., pca, t-sne, lda in visualizing high-dimensional data and preserving important information.",3
draw and explain frame synchronizer.,0
briefly explain any two 2 security objectives of audit trails.,1
explain vant hoff boyles law and vant hoff charles law and combine form.,3
draw and explain the forward feed multiple effect evaporator.,0
explain four 4 benefits of mutual fund investment.,1
what is haptics rendering pipeline modeling in virtual reality.,0
"compare the various types of sorting algorithms e.g., bubble sort, merge sort, quick sort in terms of their time complexity and suitability for different datasets.",1
a cantilever and a simply supported beam in structural systems?,0
support your views with one 1 example for each strategy.,4
paraphrase the definition of democracy.,1
explain the compressive strength of concrete. how it is determined in laboratory.,0
outline the stages of a project management process for construction.,3
draw neat diagram and explain operation of 3 pt.,2
define economic threshold and its use.,1
tabulate the differences between laminar and turbulent flow in fluid dynamics?,0
five pencils and 5 pens are to be arranged in a row.,3
explain standalone renewable system with neat diagram.,1
"evaluate the performance impact of different caching strategies e.g., write-through, write-behind, read-through, read-around in distributed systems.",3
derive the continuity equation with usual notations for three dimensional flow.,3
explain in brief sulfation of fatty alcohols and sulfonates.,3
compare the energy efficiency of two home appliances.,4
compare between kaplan turbine and francis turbine.,3
explain the supercharging with neat sketch.,0
examine the data to identify trends in customer behavior.,2
what is package in java?,0
define pdf and cdf.,0
describe the feeling of anticipation.,1
examine the purpose of ssltls certificates in secure web communication?,0
"assume that an economy is initially below the natural rate of output, due to the stock market crash in 2008. explain what policy the government can implement in order to return the output to the natural level by using appropriate diagram.",1
explain any two types of speed control methods of 3 phase induction motor.,0
explain various parts and any two types of faults with neat sketches.,0
what is thermal bimetal?,0
"discuss the principles of electromagnetic interference emi and electromagnetic compatibility emc, explaining techniques for mitigating interference in electronic circuits.",1
define put-call parity and express it in equation.,1
apply the storytelling technique here to a little story of your own.,2
draw the phasar diagram of 3 phase induction motor.,0
select the relevant case studies for a qualitative analysis.,3
what steps are involved in composing a captivating blog post?,5
what research questions would you formulate for a sociology study on social media interaction?,5
propose and justify strategies for optimizing network performance in a cloud computing environment and evaluate their impact on scalability and reliability.,2
categorize the different types of psychological disorders.,3
state and explain gibbs phase rule.,0
apply the principles of psychology to understand the effects of stress on cognitive function.,2
recall the characteristics of a mac flooding attack in ethernet networks?,0
explain typical connections of 78xx and 79xx regulators with circuit diagram.,0
what is fluidization and minimum fluidization velocity?,0
"evaluate the efficiency of different renewable energy systems e.g., solar photovoltaic, wind turbine, hydroelectric generator in converting natural resources into electrical power.",3
lets discuss the impact of climate change on ecosystems.,1
"contrast the principles of model-based clustering and density-based clustering algorithms, discussing their respective approaches to identifying clusters in data.",3
write short note on shaded pole induction motor.,1
show me how to make a simple vegetable stir-fry.,0
explain construction and working of francis turbine with application.,0
design the clocked sequential circuit for the state diagram using jk flip flop.,2
draw powerflow diagram of dc motor write the respective expressions of power and losses involved.,1
explain the process of chemical bonding.,1
explain the five 5 procedures which need to be documented during the site inspection.,1
a cup of 60 mm diameter 60 mm and height is to be drawn from 1 mm thick cold rolled steel with tensile strength 410 mpa.,2
explain in brief poly urethanes.,3
analyse the behavior of subsoil of coarse grained non-cohesive soils and fine grained cohesive soils.,3
define educational technology based on five 5 instructional design view.,0
lets discuss the role of technology in modern education.,1
what are extrusive and instrusive igneous bodies?,0
explain the structure of a v86 task in detail.,3
explain working of the pop3 protocol with advantages and disadvantages.,0
interpret the pictures.,1
state the types of timers.,0
explain in brief wet and dry lamination methods.,0
summarize the consequences of the economic policy.,1
